"id";"name";"mobile";"address";"rating";"votes";"established";"website";"mon_time";"tues_time";"wed_time";"thurs_time";"fri_time";"sat_time";"sun_time"
35;"Fitness Step Gym And Spa";"+(91)-11-39518244";"A 8, Basement, Lajpat Nagar 2-Lajpat Nagar, Delhi - 110024, Behind Cafe Coffee Day The Lounge(Map)";"4.3";"15";"2011";"http://www.fitness-step.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"09:00 am - 07:00 pm"
36;"F M A Fitness";"+(91)-11-33827204";"B 36, 2nd floor above D Pauls, Shivalik road, Shivalik-Malviya Nagar, Delhi - 110017(Map)";"3.5";"2";"2013";"http://www.jiujitsuindia.com";"06:30 am - 10:00 am";"06:30 am - 10:00 am";"06:30 am - 10:00 am";"06:30 am - 10:00 am";"06:30 am - 10:00 am";"06:30 am - 10:00 am";"06:30 am - 10:00 am"
37;"Fitness Studio india";"+(91)-11-33084376";"D-48, South City 2, Gurgaon - 122018, Near D Block Market Mother Dairy(Map)";"4.8";"4";"2011";"http://www.fitnessstudioindia.com";"06:00 am - 12:00 pm  05:00 pm - 10:00 pm";"06:00 am - 12:00 pm  05:00 pm - 10:00 pm";"06:00 am - 12:00 pm  05:00 pm - 10:00 pm";"06:00 am - 12:00 pm  05:00 pm - 10:00 pm";"06:00 am - 12:00 pm  05:00 pm - 10:00 pm";"06:00 am - 12:00 pm  05:00 pm - 10:00 pm";"Closed"
38;"Charge Fitness";"+(91)-11-33636649";"Sb-63, Top Floor, Jaipuria Sunrise Plaza Mall, Indirapuram, Ghaziabad - 201014, Near Shanti Gopal Hospital(Map)";"4.0";"76";"2011";"http://www.burngym.com";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"08:00 am - 08:00 pm"
39;"Beyond Looks Fitness Forever";"+(91)-11-33727968";"81, Hemkunt Colony, Greater Kailash I, Delhi - 110048(Map)";"3.9";"39";"Branch Offices :- {1";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"11:00 am - 05:00 pm"
40;"iFitness";"+(91)-11-33077466";"L 1, 3rd Floor, Green Park Extension, Delhi - 110016, Opposite Green Park Market(Map)";"4.4";"15";"2015";"http://www.ifitness.co.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"10:00 am - 08:00 pm"
41;"Altiq Gym Fitness 2 Wellness";"+(91)-11-33080278";"F 2, 3rd Floor, Kalkaji, Delhi - 110019, Above Sagar Ratna(Map)";"4.4";"19";"2013";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
42;"Fibre Fitness Gym And Spa";"+(91)-11-33723536";"C 2/12, Hauz Khas, Delhi - 110016, Near Aurobindo Marg And Aurobindo Palace Market(Map)";"3.8";"85";"2010";"http://www.fibrefitness.com";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 08:00 pm"
43;"Kingsfit Unisex Health Studio";"+(91)-11-33063485";"No-1, Gujranwala Town 2, Delhi - 110009, Near Biknarwala On GT Karnal Road And Opposite To Invitation Banquet(Map)";"3.5";"11";"1997";"http://www.kingsfithealthstudio.com";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm"
44;"Fitness Freaks";"+(91)-11-39510305";"C-4- F/28, Janakpuri, Delhi - 110058, Near C4e Market(Map)";"3.9";"47";"2009";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"Closed";"06:00 am - 10:00 pm"
45;"Sweat Zone Fitness Gym";"+(91)-11-33492908";"1860/139, Tri Nagar, Delhi - 110035, Near Metro Pillar Number 222(Map)";"3.8";"6";"2008";"javascript:void(0);";"05:30 am - 03:00 pm  05:00 pm - 10:00 pm";"05:30 am - 03:00 pm  05:00 pm - 10:00 pm";"05:30 am - 03:00 pm  05:00 pm - 10:00 pm";"05:30 am - 03:00 pm  05:00 pm - 10:00 pm";"05:30 am - 03:00 pm  05:00 pm - 10:00 pm";"05:30 am - 03:00 pm  05:00 pm - 10:00 pm";"Closed"
46;"Ultimate Fitness Academy Pv...";"+(91)-11-33088365";"Plot No .-8, Niti Khand-1, Indirapuram, Ghaziabad - 201014, Near SBI Bank(Map)";"4.5";"30";"2013";"http://www.ultimatefitnessacademy.in";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
47;"Iron Blast Gym And Dance";"+(91)-11-33059089";"B-117, B Block Bus Stop Main Market, Kalkaji, Delhi - 110019, Opposite South Park Appartment(Map)";"3.7";"6";"2010";"javascript:void(0);";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm"
48;"Torso Fitness";"+(91)-11-33412658";"Khasra Number 921, Old Delhi Gurgaon Road, Kapashera, Delhi - 110037, Near Yes Bank(Map)";"3.5";"2";"2014";"http://www.torsofitnessindia.com";"06:00 am - 11:00 am  04:00 pm - 10:00 pm";"06:00 am - 11:00 am  04:00 pm - 10:00 pm";"06:00 am - 11:00 am  04:00 pm - 10:00 pm";"06:00 am - 11:00 am  04:00 pm - 10:00 pm";"06:00 am - 11:00 am  04:00 pm - 10:00 pm";"06:00 am - 11:00 am  04:00 pm - 10:00 pm";"06:00 am - 11:00 am"
49;"The Revolution Gym Spa Fitn...";"+(91)-11-33064845";"E-17,18, Dilshad Colony, Dilshad Garden, Delhi - 110095, Near Reliance Fresh(Map)";"4.7";"29";"2013";"http://www.the-revolution.in";"05:00 am - 01:00 pm  05:00 pm - 10:00 pm";"05:00 am - 01:00 pm  05:00 pm - 10:00 pm";"05:00 am - 01:00 pm  05:00 pm - 10:00 pm";"05:00 am - 01:00 pm  05:00 pm - 10:00 pm";"05:00 am - 01:00 pm  05:00 pm - 10:00 pm";"05:00 am - 01:00 pm  05:00 pm - 10:00 pm";"Closed"
50;"Ozone Fitness N Spa";"+(91)-11-33084865";"23 N W A, Club Road, Punjabi Bagh, Delhi - 110026(Map)";"3.9";"256";"1967";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
51;"Moksh Marg Gym & Spa";"+(91)-11-33637693";"Plot No 44 Bhagwati Garden, Polo Garden Road, Uttam Nagar, Delhi - 110059, Near Dwarka Mor Metro Station(Map)";"3.9";"10";"2012";"javascript:void(0);";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"Closed"
52;"The Guru Gym";"+(91)-11-33088362";"Shop Number-67, Faridabad Sector-7, Faridabad - 121006, Huda Market Scf, Near Kaushik Bakery & Satya Palace Cinema(Map)";"4.5";"4";"2012";"javascript:void(0);";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"Closed"
53;"Fit life";"+(91)-11-33829240";"Building No-E-96, Pnb Road, Shastri Nagar (N), Delhi - 110052, NR. PNB BANK(Map)";"3.5";"2";"2014";"javascript:void(0);";"06:00 am - 01:00 pm  05:00 am - 10:00 pm";"06:00 am - 01:00 pm  05:00 am - 10:00 pm";"06:00 am - 01:00 pm  05:00 am - 10:00 pm";"06:00 am - 01:00 pm  05:00 am - 10:00 pm";"06:00 am - 01:00 pm  05:00 am - 10:00 pm";"06:00 am - 01:00 pm  05:00 am - 10:00 pm";"Closed"
54;"Fitness World";"+(91)-11-33065228";"3/6008 Basement, DEV Nagar, Arya Samaj Road, Karol Bagh, Delhi - 110005, Near Desu Office(Map)";"3.9";"38";"2003";"javascript:void(0);";"06:00 am - 01:00 pm  04:00 pm - 10:00 pm";"06:00 am - 01:00 pm  04:00 pm - 10:00 pm";"06:00 am - 01:00 pm  04:00 pm - 10:00 pm";"06:00 am - 01:00 pm  04:00 pm - 10:00 pm";"06:00 am - 01:00 pm  04:00 pm - 10:00 pm";"06:00 am - 01:00 pm  04:00 pm - 10:00 pm";"Closed"
55;"Jovenus Fitness Pvt Ltd";"+(91)-11-33725900";"7418, Dlf City Phase Iv Gurgaon, Gurgaon - 122002, Behind Super Mart 2(Map)";"3.8";"72";"2011";"http://www.jovenusfitness.in";"06:30 am - 10:00 pm";"06:30 am - 08:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"07:00 am - 08:00 pm";"Closed"
56;"Revitaal Mantrra";"+(91)-11-33453060";"P 3, Krishna Apra Plaza, Ist Floor, F7/8, Noida Sector 18, Noida - 201301, Near Metro Station 18, Near Icici Bank Atm(Map)";"3.1";"35";"2004";"http://www.revitalmantra.com";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm"
57;"Titanium Fitness Club";"+(91)-11-33058559";"C-47 Surya Vihar, Gurgaon Sector 4, Gurgaon - 122001, Near Sector 4 Police Post(Map)";"5.0";"1";"2014";"http://www.tfclub.in";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
58;"Force Gym";"+(91)-11-33081461";"Office Number 102, Humayun Pur-Safdarjung Enclave, Delhi - 110029, Near Dear Park(Map)";"4.9";"16";"2014";"javascript:void(0);";"06:00 am - 01:00 pm  03:00 pm - 10:00 pm";"06:00 am - 01:00 pm  03:00 pm - 10:00 pm";"06:00 am - 01:00 pm  03:00 pm - 10:00 pm";"06:00 am - 01:00 pm  03:00 pm - 10:00 pm";"06:00 am - 01:00 pm  03:00 pm - 10:00 pm";"06:00 am - 01:00 pm  03:00 pm - 10:00 pm";"09:00 am - 12:00 pm  04:00 pm - 06:00 pm"
59;"Xtrafit Gym & Fitness Studio";"+(91)-11-33058955";"30 And 398, Behra Enclave, Behra Enclave, Delhi - 110087, Oposite Radisson Hotel(Map)";"4.8";"4";"2010";"http://www.xtrafit.co.in";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 02:00 pm"
60;"Three Graces";"+(91)-11-39518696";"Plot No-A, Basant Lok Community Centre, Vasant Vihar, Delhi - 110057(Map)";"4.0";"596";"2006";"http://www.threegraces.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
61;"Fit Hit Gym & Spa";"+(91)-11-33041164";"J31& 32, Main Najafgarh Road, Ramesh Nagar, Delhi - 110015, Near Metro Station And Opposite Metro Pillar Number 363(Map)";"5.0";"1";"2013";"javascript:void(0);";"06:00 am - 11:00 am  04:00 am - 08:00 pm";"06:00 am - 11:00 am  04:00 am - 08:00 pm";"06:00 am - 11:00 am  04:00 am - 08:00 pm";"06:00 am - 11:00 am  04:00 am - 08:00 pm";"06:00 am - 11:00 am  04:00 am - 08:00 pm";"06:00 am - 11:00 am  04:00 am - 08:00 pm";"05:30 am - 05:30 am  04:00 am - 08:00 pm"
62;"Energie Gym Spa Salon And F...";"+(91)-11-33434382";"Plot Number-80, 3rd Floor, Nirman Vihar, Delhi - 110092, Near V3s Mall, Laxmi Nagar(Map)";"3.7";"46";"2007";"http://www.energieindia.com";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
