"id";"name";"mobile";"address";"rating";"votes";"established";"website";"mon_time";"tues_time";"wed_time";"thurs_time";"fri_time";"sat_time";"sun_time"
25;"Good Health";"+(91)-11-39544330";"Shop Number MS 02, MS 06, MS 07, Shipra Suncity, Regalia Heights Market, Indirapuram, Ghaziabad - 201014, Near Shipra Mall And Cisf Camp(Map)";"3.8";"15";"2002";"javascript:void(0);";"05:30 am - 10:00 pm  12:00 pm - 10:00 pm";"05:30 am - 10:00 pm  12:00 pm - 10:00 pm";"05:30 am - 10:00 pm  12:00 pm - 10:00 pm";"05:30 am - 10:00 pm  12:00 pm - 10:00 pm";"05:30 am - 10:00 pm  12:00 pm - 10:00 pm";"05:30 am - 10:00 pm  12:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:30 pm - 08:00 pm"
26;"Yhc Centre(A Unit Of Yoga H...";"+(91)-11-33087591";"Huda Plot Number 196, Golf Course Road, Gurgaon Sector 56, Gurgaon - 122011, Sector-56(Map)";"4.8";"8";"2013";"http://www.yhcfitness.com";"05:30 am - 07:30 pm";"05:30 am - 07:30 pm";"05:30 am - 07:30 pm";"05:30 am - 07:30 pm";"05:30 am - 07:30 pm";"05:30 am - 07:30 pm";"05:30 am - 07:30 pm"
27;"WMA (WARRIORS MARTIAL-ART GYM)";"+(91)-11-33636940";"Swasthya Vihar Club, Swasthya Vihar, Laxmi Nagar, Delhi - 110092, Behind V3s Mall, Near Bharti Public School(Map)";"3.6";"14";"Feel N Fit Gym, C-17";"http://www.wmagym.com";"07:00 am - 09:00 am";"06:00 pm - 10:00 pm";"06:00 am - 09:00 am";"06:00 pm - 09:00 pm";"06:00 am - 09:00 am";"06:00 pm - 09:00 pm";"Closed"
28;"Kaishogun Martial Arts Spor...";"+(91)-11-33728288";"194, Sector 56, Gurgaon, Gurgaon - 122001(Map)";"4.2";"41";"1990";"javascript:void(0);";"07:00 am - 12:00 pm  04:00 pm - 09:00 pm";"07:00 am - 12:00 pm  04:00 pm - 09:00 pm";"07:00 am - 12:00 pm  04:00 pm - 09:00 pm";"07:00 am - 12:00 pm  04:00 pm - 09:00 pm";"07:00 am - 12:00 pm  04:00 pm - 09:00 pm";"07:00 am - 12:00 pm  04:00 pm - 09:00 pm";"07:00 pm - 12:00 pm  04:00 pm - 09:00 pm"
29;"Ultimate Tactical And Comba...";"+(91)-11-33637736";"M-6 Lower Ground Floor, Saket, Delhi - 110017, Opposite ITC Sheraton(Map)";"5.0";"1";"2004";"http://www.kravmagaindia.in";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"09:30 am - 01:00 pm"
30;"Ozone Fitness N Spa";"+(91)-11-45784450";"A-36, Rajouri Garden, Delhi - 110027, Vishal Enclave, Near Vishal Cinema(Map)";"3.9";"91";"2014";"http://www.ozoneclubs.com";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm"
31;"Ryders Sports Academy";"+(91)-124-3256632";"Gurgaon Sector 52, Gurgaon - 122002, Aardee City, Gate No-2, Opposite B-Block";"3.8";"199";"Cash";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
32;"Crosstrain";"+(91)-11-33062344";"B7-120a Extension, Safdarjung Enclave, Delhi - 110029, Near Sukhmani Hospital(Map)";"4.2";"18";"2013";"http://www.crosstrain.in";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
33;"Sangeet Shyamala";"+(91)-11-33741831";"A 11, Vasant Vihar, Delhi - 110057, Infront Of 11/6 Vasant Vihar(Map)";"3.9";"46";"1974";"http://www.sangeetshyamala.in";"11:00 am - 07:00 pm";"11:00 am - 07:00 pm";"11:00 am - 07:00 pm";"11:00 am - 07:00 pm";"11:00 am - 07:00 pm";"11:00 am - 07:00 pm";"Closed"
34;"Spark Kick Boxing Academy";"+(91)-11-33745942";"2154, Fourth Floor, Outram Lines, Kingsway Camp, Delhi - 110009, Above Syndicate Bank(Map)";"4.6";"40";"2010";"http://www.sparkkickboxing.com";"06:30 am - 09:30 pm  05:00 pm - 10:00 pm";"06:30 am - 09:30 pm  05:00 pm - 10:00 pm";"06:30 am - 09:30 pm  05:00 pm - 10:00 pm";"06:30 am - 09:30 pm  05:00 pm - 10:00 pm";"06:30 am - 09:30 pm  05:00 pm - 10:00 pm";"06:30 am - 09:30 pm  05:00 pm - 10:00 pm";"Closed"
35;"Florence Academy";"+(91)-11-65959997";"E-73 -72,(Lgf), South Extension Part-I, Ndse, Delhi - 110049, Near Bengali Sweets, Below Oriental Bank Of Commerce ATM(Map)";"3.1";"10";"Language Classes For";"http://www.florenceeducation.com";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
36;"Fitness Boom";"+(91)-9899923499";"16/414, H Block, Karol Bagh, Delhi - 110005";"4.0";"2";"2015";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
37;"Black Belt World India";"+(91)-11-33083681";"C 32/B, Nathu Singh Market, Vasant Kunj, Delhi - 110070, Near Vasant Square Mall(Map)";"4.5";"44";"2009";"http://www.blackbeltworldindia.in";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm"
38;"Sanshinkan Mma & Karate Training";"+(91)-11-33433404";"A Block, Pankha Road, Janakpuri, Delhi - 110058, Near Aakash Institute & Gold Gym(Map)";"4.4";"5";"1969";"http://www.martialartt.com";"07:00 am - 10:00 am  07:00 pm - 09:30 pm";"07:00 am - 10:00 am  07:00 pm - 09:30 pm";"07:00 am - 10:00 am  07:00 pm - 09:30 pm";"07:00 am - 10:00 am  07:00 pm - 09:30 pm";"07:00 am - 10:00 am  07:00 pm - 09:30 pm";"07:00 am - 10:00 am  07:00 pm - 09:30 pm";"07:00 am - 10:00 am  07:00 pm - 09:30 pm"
39;"Future Fit";"+(91)-8527269191";"LG-19, South Point Mall, Golf Course Road, Gurgaon, Gurgaon - 122001, Near Genpact Building";"5.0";"2";"Martial Art Training";"http://www.futurefit.in";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
40;"Austrick Event";"+(91)-9560541278";"917, West End Mall, Janakpuri, Janakpuri, Delhi - 110058, District Centre Janakpuri(Map)";"3.8";"11";"2014";"http://www.austrickevent.com";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
41;"Genius Brain Abacus Academy Pv...";"+(91)-11-64522166";"G-155, bank road nr hdfc bank, Vikaspuri, Delhi - 110018, Behind PVR cinema(Map)";"4.4";"17";"Cash";"http://www.geniusbrainindia.com";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
42;"Trintity The Dance Activity Pl...";"+(91)-9999705175";"Bh-18, Shalimar Bagh East, Delhi - 110088, Opposite Mc Donalds(Map)";"Null";"0";"CashCheques";"javascript:void(0);";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm"
43;"Taekwon Do Federation Of Delhi";"+(91)-11-26891983";"Rz-34a,Bhawani Kunj,D-2, Vasant Kunj, Delhi - 110070(Map)";"3.9";"15";"Martial Art Training";"http://www.itfindia.com";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
44;"Athena Fitness";"+(91)-9891181914";"E-1083-1084,1st Flr, Ramphal Chowk, Dwarka, Delhi - 110075, Sector-7(Map)";"4.4";"21";"CashCheques";"javascript:void(0);";"06:00 am - 12:00 pm";"06:00 am - 12:00 pm";"06:00 am - 12:00 pm";"06:00 am - 12:00 pm";"06:00 am - 12:00 pm";"06:00 am - 12:00 pm";"Closed"
45;"Icon Of Martial Arts And Fitne...";"+(91)-11-33075684";"7869 A, North Campus, Roshanara Road, Delhi - 110007, Opposite Mata Mandir And Near Jaipur Golden Transport(Map)";"Null";"0";"2014";"javascript:void(0);";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"Closed"
46;"Aryan Sports & Marshal Arts Club";"+(91)-9911209940";"Plot Number-17, Vaishali Sector 5, Ghaziabad - 201010, Opposite Ocb Bank(Map)";"3.6";"9";"Cash";"javascript:void(0);";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm"
47;"THOMAS KIDS INTERNATIONAL SCHOOL";"+(91)-9873406557";"E-9 JUNGPURA, Jangpura, Delhi - 110014(Map)";"5.0";"1";"2007";"http://www.tkiabacus.com";"07:00 am - 07:30 pm";"07:00 am - 07:30 pm";"07:00 am - 07:30 pm";"07:00 am - 07:30 pm";"07:00 am - 07:30 pm";"07:00 am - 07:30 pm";"07:00 am - 07:30 pm"
48;"Martial Art Academy Of India";"+(91)-8527052750";"Ndse, Delhi - 110049(Map)";"3.9";"23";"Institute Martial Ar";"http://www.kickboxingindia.com";"08:00 am - 09:00 pm";"08:00 am - 09:00 pm";"08:00 am - 09:00 pm";"08:00 am - 09:00 pm";"08:00 am - 09:00 pm";"08:00 am - 09:00 pm";"08:00 am - 09:00 pm"
49;"Friends Academy of Martial arts";"+(91)-11-23545555";"e block , rani jhansi road, Jhandewalan Extension, Delhi - 110055, videocon tower";"4.0";"2";"1986";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
50;"WORLD TAEKWONDO FEDERATION";"+(91)-9873307801";"Off.G-145, Ram colony, Chattarpur, Delhi - 110074, Ram colony(Map)";"Null";"0";"Martial Art Training";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
51;"The gym";"+(91)-9818187123";"Kh no-760, Main road burari, Burari, Delhi - 110084, Near bank of baroda(Map)";"5.0";"2";"2008";"javascript:void(0);";"05:00 am - 12:30 pm  04:00 pm - 10:30 pm";"05:00 am - 12:30 pm  04:00 pm - 10:30 pm";"05:00 am - 12:30 pm  04:00 pm - 10:30 pm";"05:00 am - 12:30 pm  04:00 pm - 10:30 pm";"05:00 am - 12:30 pm  04:00 pm - 10:30 pm";"05:00 am - 12:30 pm  04:00 pm - 10:30 pm";"Closed"
52;"Sports Karate Do Organisation ...";"+(91)-11-33086785";"D-439, 3rd Floor, Dwarka Sector 7, Delhi - 110077, Near Ramphal Chowk, Palam Extention(Map)";"3.5";"10";"2005";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"Closed"
53;"Wing Chun Jeet Kune Do Kung Fu...";"+(91)-9911092979";"H No 736 , Wazirabad, Sector- 56, Mata Chowk, Gurgaon, Gurgaon - 122001, Near By Jalvayu Tower";"4.9";"12";"2006";"javascript:void(0);";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm";"05:00 am - 12:00 pm  04:00 pm - 09:00 pm"
54;"Shinann Nawal Dutta Martial Ar...";"+(91)-11-33728337";"A 298, New Friends Colony, Delhi - 110025, Near Lions Hospital & Ashoka Park(Map)";"3.9";"28";"2000";"http://www.goforkarate.com";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
55;"Old Monk Martial Arts Club";"+(91)-9971052225";"A-43, St No. 10, Krishna Nagar, Delhi - 110051, New Govind Pura";"4.7";"6";"1985";"javascript:void(0);";"04:00 pm - 08:00 pm";"04:00 pm - 08:00 pm";"04:00 pm - 08:00 pm";"04:00 pm - 08:00 pm";"04:00 pm - 08:00 pm";"04:00 pm - 08:00 pm";"Closed"
56;"Focus Campus";"+(91)-11-33066883";"D 44, Street Number 5 And Bhagat Singh Road, Adarsh Nagar, Delhi - 110033, Near Subhash Park(Map)";"4.6";"5";"2011";"http://www.focuscampusonline.com";"10:00 am - 02:00 pm  04:00 pm - 09:00 pm";"10:00 am - 02:00 pm  04:00 pm - 09:00 pm";"10:00 am - 02:00 pm  04:00 pm - 09:00 pm";"10:00 am - 02:00 pm  04:00 pm - 09:00 pm";"10:00 am - 02:00 pm  04:00 pm - 09:00 pm";"10:00 am - 02:00 pm  04:00 pm - 09:00 pm";"Closed"
57;"Sanshin Kan Mixed Martial Art ...";"+(91)-9136735802";"D-11/40, Rohini Sector 8, Delhi - 110085, Near Rohini East Metro Station(Map)";"3.7";"9";"Aerobic ClassesMarti";"http://www.martial-art.co.in";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
58;"Sanshikan Karate Mixed Martial...";"+(91)-11-33436701";"Wz 508/1 Second Floor Basai Darapur, Ramesh Nagar, Delhi - 110015, Near Rajori Garden Ramesh Nagaer Metro Station Gate No 1";"4.5";"2";"1959";"http://www.martial-art.co.in";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm"
59;"The best activity zone";"+(91)-7827876771";"d-9, 14, Bhajan Pura, Delhi - 110053, Near dispensery chowk(Map)";"4.0";"1";"2014";"Null";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"Closed"
60;"Israeli Mixed Martial Arts";"+(91)-11-33056472";"Nanaksar Gurudwara Basement, Opposite M-39, Greater Kailash I, Delhi - 110048(Map)";"Null";"0";"2014";"javascript:void(0);";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"05:30 am - 05:30 am"
61;"Szoon Theatre & Dance Classes";"+(91)-9999312346";"B-2, Ashok Vihar II-Ashok Vihar, Delhi - 110052, Near Laxmi Narayan Temple(Map)";"4.8";"4";"2008";"http://www.szoonactingschool.com";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
62;"Sports Academy Of Martial Arts";"+(91)-9899210111";"Baby Land Model School, Dall Mill Road, Uttam Nagar, Delhi - 110059, Opp Uttam Nagar Metro Station";"4.8";"9";"2005";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
63;"Martial Art & Fitness Academy ...";"+(91)-9891999505";"Building Number-I- 62, Beta 2-Greater Noida, Noida - 201310, Near Mother Dairy(Map)";"4.6";"8";"2013";"http://www.maafai.in";"Closed";"06:00 am - 08:00 am";"05:30 am - 05:30 am  06:00 pm - 08:00 pm";"06:00 am - 08:00 am";"05:30 am - 05:30 am  06:00 pm - 08:00 pm";"06:00 am - 08:00 am  06:00 pm - 08:00 pm";"06:00 am - 08:00 am  06:00 pm - 08:00 pm"
64;"Traditional Marshal Art";"+(91)-11-23813093";"B67, Durgapuri, Delhi - 110093, Chock durgapuri";"4.2";"6";"2014";"Null";"05:00 am - 08:00 am";"05:00 am - 08:00 am";"05:00 am - 08:00 am";"05:00 am - 08:00 am";"05:00 am - 08:00 am";"05:00 am - 08:00 am";"Closed"
65;"Martial Arts Coaches Associati...";"+(91)-9213667736";"749/A, Shahdara, Delhi - 110032, Rohtash Nagar(Map)";"4.3";"7";"Judo Karate Classes";"Null";"07:00 am - 08:30 pm  05:00 pm - 07:00 pm";"07:00 am - 08:30 pm  05:00 pm - 07:00 pm";"07:00 am - 08:30 pm  05:00 pm - 07:00 pm";"07:00 am - 08:30 pm  05:00 pm - 07:00 pm";"07:00 am - 08:30 pm  05:00 pm - 07:00 pm";"07:00 am - 08:30 pm  05:00 pm - 07:00 pm";"Closed"
